recommendation_id,member_id,product_id,recommendation_date,recommendation_score,recommendation_reason,member_health_score,credit_utilization_at_time,payment_reliability_at_time,recommendation_status,expires_at
105,52,37,2025-07-09,100,"Recommended based on excellent credit score, stable income",100,0.1,87.5,pending,2025-09-03
106,52,9,2025-05-17,100,"Recommended based on excellent credit score, stable income",100,0.1,87.5,accepted,2025-09-30
107,53,49,2025-06-13,81,"Recommended based on good credit score, stable income",100,0.1,91.67,expired,2025-08-01
108,54,28,2025-07-03,98,"Recommended based on excellent credit score, stable income",100,0.0259,87.5,expired,2025-07-22
109,55,13,2025-07-08,97,Standard recommendation,100,0.3,75.0,accepted,2025-09-27
110,55,12,2025-07-07,85,Standard recommendation,100,0.3,75.0,accepted,2025-07-21
111,55,3,2025-05-27,100,Standard recommendation,100,0.3,75.0,pending,2025-07-25
112,55,5,2025-05-19,100,Standard recommendation,100,0.3,75.0,pending,2025-10-09
113,56,3,2025-06-23,100,Recommended based on stable income,100,0.3411,69.23,pending,2025-09-19
114,57,21,2025-07-09,100,Recommended based on stable income,100,0.5,75.0,pending,2025-07-18
115,57,33,2025-07-04,90,Recommended based on stable income,100,0.5,75.0,pending,2025-09-21
116,58,19,2025-06-19,100,"Recommended based on excellent credit score, high income",100,0.1,92.31,accepted,2025-10-04
117,58,36,2025-05-20,100,"Recommended based on excellent credit score, high income",100,0.1,92.31,pending,2025-10-08
118,58,8,2025-05-22,100,"Recommended based on excellent credit score, high income",100,0.1,92.31,pending,2025-10-09
119,59,5,2025-06-17,100,"Recommended based on good credit score, stable income",100,0.3,100.0,pending,2025-08-30
120,59,37,2025-06-10,100,"Recommended based on good credit score, stable income",100,0.3,100.0,pending,2025-08-27
121,60,39,2025-06-30,92,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,expired,2025-09-14
122,61,21,2025-06-29,100,"Recommended based on good credit score, stable income",100,0.2496,80.0,declined,2025-08-15
123,62,3,2025-06-02,99,Standard recommendation,100,0.8,57.14,accepted,2025-10-03
124,62,27,2025-05-19,89,Standard recommendation,100,0.8,57.14,pending,2025-09-23
125,63,46,2025-06-21,100,"Recommended based on excellent credit score, high income",100,0.0,100.0,declined,2025-07-31
126,63,36,2025-05-24,100,"Recommended based on excellent credit score, high income",100,0.0,100.0,declined,2025-08-04
127,63,21,2025-06-30,100,"Recommended based on excellent credit score, high income",100,0.0,100.0,pending,2025-10-07
128,64,5,2025-07-10,92,Recommended based on low credit utilization,100,0.1889,45.45,accepted,2025-09-12
129,64,13,2025-07-15,100,Recommended based on low credit utilization,100,0.1889,45.45,pending,2025-09-08
130,64,3,2025-06-13,100,Recommended based on low credit utilization,100,0.1889,45.45,accepted,2025-07-23
131,65,9,2025-06-17,100,"Recommended based on good credit score, high income",100,0.4693,75.0,pending,2025-08-22
132,65,50,2025-05-18,100,"Recommended based on good credit score, high income",100,0.4693,75.0,accepted,2025-09-30
133,65,19,2025-06-03,100,"Recommended based on good credit score, high income",100,0.4693,75.0,pending,2025-07-19
134,66,16,2025-07-10,100,"Recommended based on excellent credit score, high income",100,0.2027,90.0,pending,2025-08-27
135,66,18,2025-07-15,100,"Recommended based on excellent credit score, high income",100,0.2027,90.0,declined,2025-08-05
136,66,31,2025-05-24,100,"Recommended based on excellent credit score, high income",100,0.2027,90.0,pending,2025-08-11
137,66,43,2025-06-27,100,"Recommended based on excellent credit score, high income",100,0.2027,90.0,pending,2025-08-28
138,67,39,2025-05-21,100,"Recommended based on stable income, low credit utilization",100,0.1,50.0,declined,2025-07-21
139,67,37,2025-05-25,100,"Recommended based on stable income, low credit utilization",100,0.1,50.0,declined,2025-09-26
140,67,33,2025-06-22,100,"Recommended based on stable income, low credit utilization",100,0.1,50.0,accepted,2025-09-09
141,67,50,2025-06-07,83,"Recommended based on stable income, low credit utilization",100,0.1,50.0,declined,2025-09-08
142,68,46,2025-05-24,100,"Recommended based on good credit score, stable income",100,0.3,100.0,pending,2025-10-12
143,69,38,2025-05-23,100,"Recommended based on excellent credit score, high income",100,0.1,100.0,pending,2025-09-21
144,70,5,2025-06-07,93,Recommended based on high income,100,0.4688,66.67,pending,2025-07-31
145,71,2,2025-07-13,100,"Recommended based on excellent credit score, high income",100,0.1253,100.0,pending,2025-09-17
146,71,41,2025-06-01,98,"Recommended based on excellent credit score, high income",100,0.1253,100.0,pending,2025-07-25
147,71,11,2025-06-25,87,"Recommended based on excellent credit score, high income",100,0.1253,100.0,pending,2025-08-15
148,72,13,2025-05-17,95,Recommended based on low credit utilization,100,0.1,83.33,expired,2025-09-27
149,73,34,2025-06-09,100,"Recommended based on good credit score, high income",100,0.315,78.95,pending,2025-10-10
150,73,22,2025-06-12,99,"Recommended based on good credit score, high income",100,0.315,78.95,pending,2025-07-26
151,73,19,2025-06-09,100,"Recommended based on good credit score, high income",100,0.315,78.95,pending,2025-08-02
152,74,24,2025-07-13,100,"Recommended based on excellent credit score, high income",100,0.0284,90.91,accepted,2025-10-02
153,75,30,2025-06-13,100,Recommended based on stable income,100,0.5,87.5,accepted,2025-07-25
154,75,5,2025-06-06,100,Recommended based on stable income,100,0.5,87.5,pending,2025-10-10
155,75,15,2025-06-23,86,Recommended based on stable income,100,0.5,87.5,declined,2025-09-29
156,76,3,2025-06-11,92,Recommended based on low credit utilization,100,0.1,66.67,pending,2025-07-28
157,77,7,2025-06-12,100,"Recommended based on good credit score, stable income",100,0.2432,90.0,declined,2025-09-05
158,78,39,2025-06-14,95,"Recommended based on high income, low credit utilization",100,0.1,66.67,accepted,2025-09-02
159,79,13,2025-05-26,100,Standard recommendation,100,0.8,85.71,accepted,2025-09-19
160,80,28,2025-06-10,100,"Recommended based on excellent credit score, high income",100,0.0,100.0,pending,2025-10-10
161,81,33,2025-06-15,92,"Recommended based on high income, low credit utilization",100,0.2593,77.78,pending,2025-09-02
162,81,27,2025-05-17,100,"Recommended based on high income, low credit utilization",100,0.2593,77.78,declined,2025-09-30
163,81,43,2025-05-31,94,"Recommended based on high income, low credit utilization",100,0.2593,77.78,pending,2025-09-25
164,82,23,2025-06-06,100,"Recommended based on excellent credit score, high income",100,0.1,83.33,declined,2025-10-13
165,82,6,2025-06-05,100,"Recommended based on excellent credit score, high income",100,0.1,83.33,declined,2025-10-06
166,82,27,2025-07-01,100,"Recommended based on excellent credit score, high income",100,0.1,83.33,pending,2025-10-01
167,82,50,2025-07-09,100,"Recommended based on excellent credit score, high income",100,0.1,83.33,pending,2025-08-13
168,83,10,2025-06-28,96,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,expired,2025-09-07
169,84,6,2025-06-29,100,"Recommended based on excellent credit score, high income",100,0.2254,100.0,declined,2025-10-11
170,84,47,2025-06-18,100,"Recommended based on excellent credit score, high income",100,0.2254,100.0,declined,2025-09-22
171,84,35,2025-06-17,100,"Recommended based on excellent credit score, high income",100,0.2254,100.0,accepted,2025-09-20
172,85,3,2025-06-07,100,"Recommended based on good credit score, stable income",100,0.3,100.0,declined,2025-07-19
173,86,39,2025-07-06,100,Recommended based on low credit utilization,100,0.1,71.43,accepted,2025-07-26
174,87,27,2025-05-31,95,"Recommended based on excellent credit score, high income",100,0.5322,100.0,declined,2025-10-03
175,88,31,2025-07-10,100,"Recommended based on excellent credit score, high income",100,0.1,86.67,expired,2025-07-20
176,88,37,2025-05-20,100,"Recommended based on excellent credit score, high income",100,0.1,86.67,declined,2025-07-31
177,88,28,2025-05-17,100,"Recommended based on excellent credit score, high income",100,0.1,86.67,declined,2025-08-30
178,89,37,2025-05-24,100,"Recommended based on good credit score, stable income",100,0.0,100.0,pending,2025-09-11
179,89,42,2025-06-10,100,"Recommended based on good credit score, stable income",100,0.0,100.0,pending,2025-08-05
180,90,8,2025-06-30,97,"Recommended based on stable income, low credit utilization",100,0.1845,53.85,accepted,2025-08-24
181,90,37,2025-05-31,100,"Recommended based on stable income, low credit utilization",100,0.1845,53.85,declined,2025-10-09
182,90,30,2025-07-02,100,"Recommended based on stable income, low credit utilization",100,0.1845,53.85,pending,2025-10-03
183,91,5,2025-07-07,100,Recommended based on low credit utilization,100,0.1,87.5,pending,2025-08-22
184,91,30,2025-06-11,100,Recommended based on low credit utilization,100,0.1,87.5,declined,2025-09-29
185,91,8,2025-06-14,96,Recommended based on low credit utilization,100,0.1,87.5,pending,2025-09-01
186,92,41,2025-06-29,100,"Recommended based on excellent credit score, high income",100,0.2426,92.31,expired,2025-07-18
187,92,25,2025-07-01,100,"Recommended based on excellent credit score, high income",100,0.2426,92.31,pending,2025-10-06
188,93,13,2025-06-24,98,Recommended based on stable income,100,0.5,66.67,pending,2025-09-29
189,94,12,2025-05-27,100,"Recommended based on good credit score, stable income",100,0.1,80.0,pending,2025-07-23
190,95,21,2025-07-14,100,"Recommended based on stable income, low credit utilization",100,0.1615,81.82,declined,2025-08-21
191,95,13,2025-06-26,100,"Recommended based on stable income, low credit utilization",100,0.1615,81.82,declined,2025-09-14
192,96,37,2025-06-27,81,Recommended based on low credit utilization,100,0.1,50.0,accepted,2025-10-08
193,96,13,2025-05-19,92,Recommended based on low credit utilization,100,0.1,50.0,accepted,2025-08-21
194,97,21,2025-07-08,100,Standard recommendation,100,0.3,50.0,pending,2025-08-08
195,97,3,2025-06-04,100,Standard recommendation,100,0.3,50.0,pending,2025-09-01
196,98,21,2025-06-28,87,Recommended based on stable income,100,0.3,66.67,accepted,2025-10-06
197,98,13,2025-05-28,98,Recommended based on stable income,100,0.3,66.67,expired,2025-07-28
198,99,13,2025-06-03,90,Recommended based on low credit utilization,100,0.1988,41.67,expired,2025-09-02
199,99,21,2025-07-09,82,Recommended based on low credit utilization,100,0.1988,41.67,pending,2025-08-31
200,99,3,2025-06-28,100,Recommended based on low credit utilization,100,0.1988,41.67,expired,2025-08-08
201,100,3,2025-05-26,100,"Recommended based on low credit utilization, excellent payment history",100,0.1,100.0,expired,2025-07-29
202,101,32,2025-06-13,100,"Recommended based on excellent credit score, high income",100,0.2641,85.71,accepted,2025-08-20
203,101,31,2025-07-02,100,"Recommended based on excellent credit score, high income",100,0.2641,85.71,pending,2025-08-28
204,101,43,2025-07-04,100,"Recommended based on excellent credit score, high income",100,0.2641,85.71,expired,2025-08-23
205,102,6,2025-05-27,99,"Recommended based on excellent credit score, high income",100,0.1,90.91,declined,2025-08-11
206,103,3,2025-06-11,100,Recommended based on stable income,100,0.3,54.55,declined,2025-07-26
207,104,6,2025-07-13,100,"Recommended based on excellent credit score, high income",100,0.3,100.0,accepted,2025-09-13
208,105,12,2025-05-18,95,Recommended based on excellent payment history,100,0.3735,90.91,pending,2025-08-22
209,105,10,2025-06-19,95,Recommended based on excellent payment history,100,0.3735,90.91,accepted,2025-10-03
210,106,21,2025-06-28,100,Recommended based on low credit utilization,100,0.1,33.33,accepted,2025-08-12
211,106,37,2025-05-24,88,Recommended based on low credit utilization,100,0.1,33.33,pending,2025-09-03
212,107,38,2025-05-19,100,"Recommended based on good credit score, stable income",100,0.1,83.33,pending,2025-08-24
213,107,9,2025-07-14,100,"Recommended based on good credit score, stable income",100,0.1,83.33,accepted,2025-08-06
214,107,2,2025-07-03,100,"Recommended based on good credit score, stable income",100,0.1,83.33,declined,2025-08-13
215,108,13,2025-07-12,100,Recommended based on stable income,100,0.4276,80.0,accepted,2025-08-05
216,108,3,2025-07-02,100,Recommended based on stable income,100,0.4276,80.0,pending,2025-09-15
217,109,9,2025-07-14,100,"Recommended based on good credit score, high income",100,0.8,100.0,pending,2025-07-22
218,110,13,2025-06-29,100,Standard recommendation,100,0.3,80.0,pending,2025-09-18
219,111,3,2025-07-14,85,Standard recommendation,100,0.3,20.0,pending,2025-09-08
220,112,13,2025-06-26,100,"Recommended based on stable income, low credit utilization",100,0.0618,66.67,accepted,2025-08-03
221,112,12,2025-05-27,100,"Recommended based on stable income, low credit utilization",100,0.0618,66.67,declined,2025-09-29
222,112,5,2025-06-23,100,"Recommended based on stable income, low credit utilization",100,0.0618,66.67,declined,2025-07-19
223,113,13,2025-06-09,85,"Recommended based on stable income, low credit utilization",100,0.1,57.14,declined,2025-08-19
224,113,21,2025-06-12,97,"Recommended based on stable income, low credit utilization",100,0.1,57.14,declined,2025-08-12
225,113,3,2025-07-01,100,"Recommended based on stable income, low credit utilization",100,0.1,57.14,declined,2025-09-02
226,114,3,2025-06-25,100,"Recommended based on excellent credit score, high income",100,0.2439,95.45,declined,2025-10-05
227,114,13,2025-06-09,100,"Recommended based on excellent credit score, high income",100,0.2439,95.45,accepted,2025-07-16
228,115,3,2025-07-11,100,"Recommended based on excellent credit score, high income",100,0.0,100.0,declined,2025-09-13
229,116,12,2025-07-04,100,"Recommended based on good credit score, high income",100,0.581,87.5,pending,2025-09-04
230,117,42,2025-06-02,100,"Recommended based on excellent credit score, high income",100,0.5,90.0,pending,2025-07-22
231,117,3,2025-05-29,100,"Recommended based on excellent credit score, high income",100,0.5,90.0,expired,2025-09-28
232,117,18,2025-06-02,97,"Recommended based on excellent credit score, high income",100,0.5,90.0,accepted,2025-08-07
233,118,18,2025-06-30,100,"Recommended based on good credit score, high income",100,0.0,83.33,accepted,2025-09-02
234,119,37,2025-06-17,97,Standard recommendation,100,0.3,75.0,pending,2025-08-27
235,119,21,2025-07-04,100,Standard recommendation,100,0.3,75.0,expired,2025-09-19
236,119,3,2025-07-05,100,Standard recommendation,100,0.3,75.0,declined,2025-09-30
237,120,20,2025-05-21,100,"Recommended based on excellent credit score, high income",100,0.1,92.31,accepted,2025-09-10
238,120,21,2025-07-15,100,"Recommended based on excellent credit score, high income",100,0.1,92.31,pending,2025-10-12
239,121,3,2025-06-26,100,Recommended based on low credit utilization,100,0,85.0,accepted,2025-09-15
240,121,13,2025-07-15,86,Recommended based on low credit utilization,100,0,85.0,accepted,2025-08-07
241,122,26,2025-06-09,100,"Recommended based on excellent credit score, high income",100,0.3699,89.47,accepted,2025-09-24
242,122,29,2025-06-18,100,"Recommended based on excellent credit score, high income",100,0.3699,89.47,pending,2025-08-23
243,123,3,2025-06-21,96,Standard recommendation,100,0.3,62.5,accepted,2025-08-08
244,124,33,2025-07-12,100,"Recommended based on excellent credit score, stable income",100,0.2362,90.0,declined,2025-09-08
245,124,7,2025-05-20,100,"Recommended based on excellent credit score, stable income",100,0.2362,90.0,declined,2025-08-20
246,125,3,2025-05-28,100,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,expired,2025-08-01
247,125,10,2025-05-23,100,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,pending,2025-08-30
248,125,8,2025-05-24,100,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,pending,2025-09-12
249,126,12,2025-06-20,100,Recommended based on stable income,100,0.5705,81.82,pending,2025-10-05
250,126,37,2025-06-29,100,Recommended based on stable income,100,0.5705,81.82,accepted,2025-07-31
251,126,5,2025-07-10,100,Recommended based on stable income,100,0.5705,81.82,pending,2025-07-22
252,127,37,2025-06-30,100,"Recommended based on excellent credit score, high income",100,0.3,86.36,pending,2025-07-16
253,127,42,2025-07-11,100,"Recommended based on excellent credit score, high income",100,0.3,86.36,pending,2025-07-28
254,128,5,2025-07-02,100,Recommended based on low credit utilization,100,0,85.0,pending,2025-08-07
255,129,44,2025-06-18,94,Recommended based on stable income,100,0.3,85.71,expired,2025-08-20
256,130,37,2025-07-12,100,Recommended based on low credit utilization,100,0.1,71.43,expired,2025-07-26
257,130,10,2025-07-12,93,Recommended based on low credit utilization,100,0.1,71.43,expired,2025-07-24
258,131,36,2025-06-21,74,"Recommended based on good credit score, stable income",100,0.3585,92.31,accepted,2025-07-18
259,131,31,2025-06-06,85,"Recommended based on good credit score, stable income",100,0.3585,92.31,pending,2025-08-04
260,131,45,2025-06-05,100,"Recommended based on good credit score, stable income",100,0.3585,92.31,pending,2025-10-04
261,132,13,2025-06-18,100,Recommended based on low credit utilization,100,0.0,71.43,pending,2025-08-10
262,133,13,2025-07-06,87,Recommended based on low credit utilization,100,0.1,66.67,pending,2025-08-26
263,134,8,2025-06-19,100,"Recommended based on excellent credit score, high income",100,0.2729,83.33,declined,2025-08-02
264,134,10,2025-05-21,100,"Recommended based on excellent credit score, high income",100,0.2729,83.33,accepted,2025-07-23
265,135,14,2025-06-23,100,"Recommended based on excellent credit score, high income",100,0.3,92.86,declined,2025-09-15
266,135,27,2025-06-22,100,"Recommended based on excellent credit score, high income",100,0.3,92.86,expired,2025-08-22
267,136,21,2025-06-08,88,Standard recommendation,100,0.5,33.33,accepted,2025-08-31
268,136,13,2025-07-13,95,Standard recommendation,100,0.5,33.33,pending,2025-09-18
269,136,3,2025-06-15,100,Standard recommendation,100,0.5,33.33,declined,2025-09-18
270,137,39,2025-05-26,99,Standard recommendation,100,0.3,87.5,declined,2025-09-03
271,137,13,2025-07-02,100,Standard recommendation,100,0.3,87.5,accepted,2025-07-30
272,137,3,2025-06-05,100,Standard recommendation,100,0.3,87.5,accepted,2025-08-26
273,137,7,2025-06-03,100,Standard recommendation,100,0.3,87.5,declined,2025-07-16
274,138,37,2025-07-08,100,"Recommended based on good credit score, low credit utilization",100,0.1,85.71,accepted,2025-08-25
275,138,2,2025-07-09,74,"Recommended based on good credit score, low credit utilization",100,0.1,85.71,declined,2025-10-05
276,139,12,2025-05-26,100,"Recommended based on good credit score, stable income",100,0.0947,92.31,declined,2025-09-09
277,140,48,2025-05-20,100,"Recommended based on excellent credit score, high income",100,0.2785,86.67,pending,2025-09-17
